deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,classifier_processing_ms_mean,mean,4.390825827916464,5
cloud_only,fault_alternate,classifier_processing_ms_mean,median,4.42204288407868,5
cloud_only,fault_alternate,classifier_processing_ms_mean,std,0.14044706230933193,5
cloud_only,fault_alternate,classifier_processing_ms_mean,p95,4.512451092402141,5
cloud_only,fault_alternate,classifier_processing_ms_mean,min,4.196377361522002,5
cloud_only,fault_alternate,classifier_processing_ms_mean,max,4.522840181986491,5
cloud_only,fault_alternate,classifier_processing_ms_median,count,4,5
cloud_only,fault_alternate,classifier_processing_ms_median,mean,4.2137205600738525,5
cloud_only,fault_alternate,classifier_processing_ms_median,median,4.212737083435059,5
cloud_only,fault_alternate,classifier_processing_ms_median,std,0.08389496498576104,5
cloud_only,fault_alternate,classifier_processing_ms_median,p95,4.3027520179748535,5
cloud_only,fault_alternate,classifier_processing_ms_median,min,4.115462303161621,5
cloud_only,fault_alternate,classifier_processing_ms_median,max,4.313945770263672,5
cloud_only,fault_alternate,classifier_processing_ms_min,count,4,5
cloud_only,fault_alternate,classifier_processing_ms_min,mean,3.7224292755126953,5
cloud_only,fault_alternate,classifier_processing_ms_min,median,3.7332773208618164,5
cloud_only,fault_alternate,classifier_processing_ms_min,std,0.20799603681553933,5
cloud_only,fault_alternate,classifier_processing_ms_min,p95,3.92301082611084,5
cloud_only,fault_alternate,classifier_processing_ms_min,min,3.4880638122558594,5
cloud_only,fault_alternate,classifier_processing_ms_min,max,3.935098648071289,5
cloud_only,fault_alternate,classifier_processing_ms_p95,count,4,5
cloud_only,fault_alternate,classifier_processing_ms_p95,mean,5.509963631629942,5
cloud_only,fault_alternate,classifier_processing_ms_p95,median,5.504637956619262,5
cloud_only,fault_alternate,classifier_processing_ms_p95,std,0.8364186341517444,5
cloud_only,fault_alternate,classifier_processing_ms_p95,p95,6.377269625663754,5
cloud_only,fault_alternate,classifier_processing_ms_p95,min,4.568195343017578,5
cloud_only,fault_alternate,classifier_processing_ms_p95,max,6.462383270263668,5
cloud_only,fault_alternate,classifier_processing_ms_std,count,4,5
cloud_only,fault_alternate,classifier_processing_ms_std,mean,0.6664545668986681,5
cloud_only,fault_alternate,classifier_processing_ms_std,median,0.5999968729505696,5
cloud_only,fault_alternate,classifier_processing_ms_std,std,0.3701704147027372,5
cloud_only,fault_alternate,classifier_processing_ms_std,p95,1.0957860401946289,5
cloud_only,fault_alternate,classifier_processing_ms_std,min,0.29640315172657916,5
cloud_only,fault_alternate,classifier_processing_ms_std,max,1.1694213699669542,5
cloud_only,fault_alternate,cloud_escalations,count,5,5
