deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,classifier_memory_min,std,5174090.643645432,5
cloud_only,fault_alternate,classifier_memory_min,p95,259628236.8,5
cloud_only,fault_alternate,classifier_memory_min,min,247984128.0,5
cloud_only,fault_alternate,classifier_memory_min,max,259629056.0,5
cloud_only,fault_alternate,classifier_memory_p95,count,5,5
cloud_only,fault_alternate,classifier_memory_p95,mean,257684111.36,5
cloud_only,fault_alternate,classifier_memory_p95,median,260055040.0,5
cloud_only,fault_alternate,classifier_memory_p95,std,5203513.69330921,5
cloud_only,fault_alternate,classifier_memory_p95,p95,260071260.16,5
cloud_only,fault_alternate,classifier_memory_p95,min,248377344.0,5
cloud_only,fault_alternate,classifier_memory_p95,max,260071424.0,5
cloud_only,fault_alternate,classifier_memory_std,count,5,5
cloud_only,fault_alternate,classifier_memory_std,mean,130153.43793738955,5
cloud_only,fault_alternate,classifier_memory_std,median,125067.27571896983,5
cloud_only,fault_alternate,classifier_memory_std,std,29221.602319149173,5
cloud_only,fault_alternate,classifier_memory_std,p95,165045.38573358208,5
cloud_only,fault_alternate,classifier_memory_std,min,100723.67627371973,5
cloud_only,fault_alternate,classifier_memory_std,max,168546.38731045966,5
cloud_only,fault_alternate,cloud_escalations,count,5,5
cloud_only,fault_alternate,cloud_escalations,mean,14.2,5
cloud_only,fault_alternate,cloud_escalations,median,17.0,5
cloud_only,fault_alternate,cloud_escalations,std,7.395944834840238,5
cloud_only,fault_alternate,cloud_escalations,p95,18.0,5
cloud_only,fault_alternate,cloud_escalations,min,1.0,5
cloud_only,fault_alternate,cloud_escalations,max,18.0,5
cloud_only,fault_alternate,detection_latency_ms_count,count,5,5
cloud_only,fault_alternate,detection_latency_ms_count,mean,1317.4,5
cloud_only,fault_alternate,detection_latency_ms_count,median,1619.0,5
cloud_only,fault_alternate,detection_latency_ms_count,std,682.7959431631093,5
cloud_only,fault_alternate,detection_latency_ms_count,p95,1628.0,5
cloud_only,fault_alternate,detection_latency_ms_count,min,96.0,5
cloud_only,fault_alternate,detection_latency_ms_count,max,1629.0,5
cloud_only,fault_alternate,detection_latency_ms_max,count,5,5
cloud_only,fault_alternate,detection_latency_ms_max,mean,17.202138900756836,5
cloud_only,fault_alternate,detection_latency_ms_max,median,16.901016235351562,5
cloud_only,fault_alternate,detection_latency_ms_max,std,11.022789891150744,5
cloud_only,fault_alternate,detection_latency_ms_max,p95,31.15363121032715,5
cloud_only,fault_alternate,detection_latency_ms_max,min,4.873514175415039,5
cloud_only,fault_alternate,detection_latency_ms_max,max,34.006595611572266,5
cloud_only,fault_alternate,detection_latency_ms_mean,count,5,5
cloud_only,fault_alternate,detection_latency_ms_mean,mean,3.4327786065296535,5
cloud_only,fault_alternate,detection_latency_ms_mean,median,3.4265253278944225,5
cloud_only,fault_alternate,detection_latency_ms_mean,std,0.012168211565565053,5
cloud_only,fault_alternate,detection_latency_ms_mean,p95,3.4485124820098974,5
cloud_only,fault_alternate,detection_latency_ms_mean,min,3.4211724996566772,5
cloud_only,fault_alternate,detection_latency_ms_mean,max,3.4507183913760455,5
cloud_only,fault_alternate,detection_latency_ms_median,count,5,5
cloud_only,fault_alternate,detection_latency_ms_median,mean,3.3553361892700195,5
cloud_only,fault_alternate,detection_latency_ms_median,median,3.3516883850097656,5
cloud_only,fault_alternate,detection_latency_ms_median,std,0.02619644141636182,5
cloud_only,fault_alternate,detection_latency_ms_median,p95,3.385591506958008,5
cloud_only,fault_alternate,detection_latency_ms_median,min,3.324747085571289,5
cloud_only,fault_alternate,detection_latency_ms_median,max,3.3882856369018555,5
cloud_only,fault_alternate,detection_latency_ms_min,count,5,5
cloud_only,fault_alternate,detection_latency_ms_min,mean,2.926301956176758,5
cloud_only,fault_alternate,detection_latency_ms_min,median,2.92205810546875,5
cloud_only,fault_alternate,detection_latency_ms_min,std,0.10139048270337399,5
cloud_only,fault_alternate,detection_latency_ms_min,p95,3.048992156982422,5
cloud_only,fault_alternate,detection_latency_ms_min,min,2.8018951416015625,5
cloud_only,fault_alternate,detection_latency_ms_min,max,3.0684471130371094,5
cloud_only,fault_alternate,detection_latency_ms_p95,count,5,5
cloud_only,fault_alternate,detection_latency_ms_p95,mean,3.837356567382812,5
cloud_only,fault_alternate,detection_latency_ms_p95,median,3.8089275360107417,5
cloud_only,fault_alternate,detection_latency_ms_p95,std,0.1293842573766812,5
cloud_only,fault_alternate,detection_latency_ms_p95,p95,4.007067680358885,5
cloud_only,fault_alternate,detection_latency_ms_p95,min,3.7105679512023926,5
cloud_only,fault_alternate,detection_latency_ms_p95,max,4.056453704833983,5
cloud_only,fault_alternate,detection_latency_ms_std,count,5,5
cloud_only,fault_alternate,detection_latency_ms_std,mean,0.5634282312599909,5
cloud_only,fault_alternate,detection_latency_ms_std,median,0.5133872680206963,5
cloud_only,fault_alternate,detection_latency_ms_std,std,0.2825773089231076,5
cloud_only,fault_alternate,detection_latency_ms_std,p95,0.8781769991744257,5
cloud_only,fault_alternate,detection_latency_ms_std,min,0.22670972836850514,5
cloud_only,fault_alternate,detection_latency_ms_std,max,0.8969111390321287,5
cloud_only,fault_alternate,detector_cpu_count,count,5,5
cloud_only,fault_alternate,detector_cpu_count,mean,133.8,5
cloud_only,fault_alternate,detector_cpu_count,median,156.0,5
cloud_only,fault_alternate,detector_cpu_count,std,50.76120565944036,5
cloud_only,fault_alternate,detector_cpu_count,p95,157.0,5
cloud_only,fault_alternate,detector_cpu_count,min,43.0,5
cloud_only,fault_alternate,detector_cpu_count,max,157.0,5
cloud_only,fault_alternate,detector_cpu_max,count,5,5
cloud_only,fault_alternate,detector_cpu_max,mean,2.797849186812453,5
cloud_only,fault_alternate,detector_cpu_max,median,2.58807930853315,5
cloud_only,fault_alternate,detector_cpu_max,std,0.7231096361509473,5
cloud_only,fault_alternate,detector_cpu_max,p95,3.7764761772673117,5
cloud_only,fault_alternate,detector_cpu_max,min,2.295809590170493,5
cloud_only,fault_alternate,detector_cpu_max,max,4.072905766382678,5
cloud_only,fault_alternate,detector_cpu_mean,count,5,5
cloud_only,fault_alternate,detector_cpu_mean,mean,1.5997620367869103,5
cloud_only,fault_alternate,detector_cpu_mean,median,1.630039697550576,5
cloud_only,fault_alternate,detector_cpu_mean,std,0.09122652816747587,5
cloud_only,fault_alternate,detector_cpu_mean,p95,1.6598477885494418,5
cloud_only,fault_alternate,detector_cpu_mean,min,1.4395996308382404,5
cloud_only,fault_alternate,detector_cpu_mean,max,1.6623563332363485,5
cloud_only,fault_alternate,detector_cpu_median,count,5,5
cloud_only,fault_alternate,detector_cpu_median,mean,1.5440101340357308,5
cloud_only,fault_alternate,detector_cpu_median,median,1.5976869837126182,5
cloud_only,fault_alternate,detector_cpu_median,std,0.12497395672380793,5
cloud_only,fault_alternate,detector_cpu_median,p95,1.6031964018109,5
cloud_only,fault_alternate,detector_cpu_median,min,1.3205234348264479,5
cloud_only,fault_alternate,detector_cpu_median,max,1.603320648774587,5
cloud_only,fault_alternate,detector_cpu_min,count,5,5
cloud_only,fault_alternate,detector_cpu_min,mean,0.8525004903945125,5
cloud_only,fault_alternate,detector_cpu_min,median,0.9514368292117424,5
cloud_only,fault_alternate,detector_cpu_min,std,0.4605923702623784,5
cloud_only,fault_alternate,detector_cpu_min,p95,1.232169825695447,5
cloud_only,fault_alternate,detector_cpu_min,min,0.11029188046863274,5
cloud_only,fault_alternate,detector_cpu_min,max,1.2370328263429495,5
cloud_only,fault_alternate,detector_cpu_p95,count,5,5
cloud_only,fault_alternate,detector_cpu_p95,mean,2.344122086453274,5
cloud_only,fault_alternate,detector_cpu_p95,median,2.4418509598196176,5
cloud_only,fault_alternate,detector_cpu_p95,std,0.18576559188799519,5
cloud_only,fault_alternate,detector_cpu_p95,p95,2.473780279478073,5
cloud_only,fault_alternate,detector_cpu_p95,min,2.0335056968364498,5
cloud_only,fault_alternate,detector_cpu_p95,max,2.4777403742877424,5
